Locais;Cod_locais
Brasil;1
Argentina;11
Bolívia;12
Paraguai;13
Uruguai;14
América do Sul (outros);10
América Central;20
Caribe;30
Estados Unidos;41
América do Norte (outros);40
Ilhas britânicas;50
Europa nórdica;60
Alemanha Oc;71
Alemanha Or;72
Áustria;73
Espanha;74
França;75
Itália;76
Portugal;77
Suíça;78
Europa ocidental (outros);70
Hungria;81
Iugoslávia;82
Polônia;83
Europa oriental (outros);80
África setentrional;90
África central;100
África meridional;110
Líbano;121
Síria;122
Ásia ocidental (outros);120
Ásia central;130
Ásia meridional;140
China;151
Japão;152
Ásia oriental (outros);150
Oceania;160
Ex-URSS;170
Rondônia;811
Acre;812
Amazonas;813
Roraima;814
Pará;815
Amapá;816
Tocantins;817
Maranhão;821
Piauí;822
Ceará;823
Rio Grande do Norte;824
Paraíba;825
Pernambuco;826
Alagoas;827
Sergipe;828
Bahia;829
Minas Gerais;831
Espírito Santo;832
Rio de Janeiro;833
São Paulo;835
Paraná;841
Santa Catarina;842
Rio Grande do Sul;843
Mato Grande do Sul;850
Mato Grosso;851
Goiás;852
Distrito Federal;853
;
;
;
